Date,VaR
2022-06-20,-0.036867089555152714
2022-06-21,-0.03688413301491578
2022-06-22,-0.03688165669387234
2022-06-23,-0.03690047510977714
2022-06-24,-0.036923140594528246
2022-06-27,-0.0371841789072198
2022-06-28,-0.037197714374859574
2022-06-29,-0.037195670457695264
2022-06-30,-0.037263080647394885
2022-07-01,-0.03723784377224224
2022-07-04,-0.03714276765056693
2022-07-05,-0.037117172119744316
2022-07-06,-0.03732105591737015
2022-07-07,-0.037467695935628015
2022-07-08,-0.037720987515824894
2022-07-11,-0.03776845007209568
2022-07-12,-0.03750349355465163
2022-07-13,-0.037502566592389236
2022-07-14,-0.0373521880921347
2022-07-15,-0.03746263881422707
2022-07-18,-0.03755594481777264
2022-07-19,-0.03763636256042771
2022-07-20,-0.03775045266681534
2022-07-21,-0.03773009596493993
2022-07-22,-0.03773631048186642
2022-07-25,-0.03774872500836307
2022-07-26,-0.03772705578410583
2022-07-27,-0.03774833082373493
2022-07-28,-0.037753105852783506
2022-07-29,-0.037835132541162185
2022-08-01,-0.03799332824899453
2022-08-02,-0.0379951313129186
2022-08-03,-0.03800452066545113
2022-08-04,-0.03802502066434868
2022-08-05,-0.03803017581898227
2022-08-08,-0.03807248191969533
2022-08-09,-0.03811366410165012
2022-08-10,-0.03816328127599088
2022-08-11,-0.038311357967566274
2022-08-12,-0.03818756061843433
2022-08-15,-0.03818410618972436
2022-08-16,-0.03815827549552598
2022-08-17,-0.03815985308084455
2022-08-18,-0.038260821780205685
2022-08-19,-0.038268229377905784
2022-08-22,-0.03833671136117959
2022-08-23,-0.038459991351467125
2022-08-24,-0.038460126374101504
2022-08-25,-0.03844191465859558
2022-08-26,-0.038427347101835936
2022-08-29,-0.038601687381366795
2022-08-30,-0.03861241851982699
2022-08-31,-0.03861517674974067
2022-09-01,-0.03858624198894775
2022-09-02,-0.03882924509647856
2022-09-05,-0.039085962631173546
2022-09-06,-0.03913321250005719
2022-09-07,-0.03915109927455991
2022-09-08,-0.039123795770216255
2022-09-09,-0.039120368411631114
2022-09-12,-0.03927692378959682
2022-09-13,-0.03934102505856163
2022-09-14,-0.039500787110576904
2022-09-15,-0.03949818652227871
2022-09-16,-0.039464627142236856
2022-09-19,-0.03955034441745432
2022-09-20,-0.039549413154112735
2022-09-21,-0.03943277458160612
2022-09-22,-0.039477312115936206
2022-09-23,-0.039674794943307334
2022-09-26,-0.04000363993970346
2022-09-27,-0.040006084564905245
2022-09-28,-0.03995762062069167
2022-09-29,-0.039892130550742054
2022-09-30,-0.04007514837083204
2022-10-04,-0.040305420659953885
2022-10-05,-0.04121975472037011
2022-10-06,-0.04135036468494702
2022-10-07,-0.04132140366497635
2022-10-10,-0.04137441002047926
2022-10-11,-0.0413374846513844
2022-10-12,-0.041339636759888075
2022-10-13,-0.04137141986435325
2022-10-14,-0.041471246222637356
2022-10-17,-0.04152229451356076
